,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,0,2598195.0,31057500.0,24814812.0,31519836.0,0.0,0.0,0.0,0.0,0
1,02/08/2022,0,0,2616605.075,31132262.4625,24859431.975,31564174.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
2,02/09/2022,0,0,2635015.15,31207024.925,24904051.95,31608512.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
3,02/10/2022,0,0,2653425.225,31281787.3875,24948671.925,31652850.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
4,02/11/2022,0,0,2671835.3,31356549.85,24993291.9,31697188.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
5,02/12/2022,0,0,2690245.375,31431312.3125,25037911.875,31741527.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
6,02/13/2022,0,0,2708655.45,31506074.775,25082531.85,31785865.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
7,02/14/2022,0,0,2727065.525,31580837.2375,25127151.825,31830203.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
8,02/15/2022,0,0,2745475.6,31655599.7,25171771.8,31874541.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
9,02/16/2022,0,0,2763885.675,31730362.1625,25216391.775,31918879.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
10,02/17/2022,0,0,2782295.75,31805124.625,25261011.75,31963218.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
11,02/18/2022,0,0,2800705.825,31879887.0875,25305631.725,32007556.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
12,02/19/2022,0,0,2819115.9,31954649.55,25350251.7,32051894.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
13,02/20/2022,0,0,2837525.975,32029412.0125,25394871.675,32096232.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
14,02/21/2022,0,0,2855936.05,32104174.475,25439491.65,32140570.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
15,02/22/2022,0,0,2874346.125,32178936.9375,25484111.625,32184909.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
16,02/23/2022,0,0,2892756.2,32253699.4,25528731.6,32229247.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
17,02/24/2022,0,0,2911166.275,32328461.8625,25573351.575,32273585.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
18,02/25/2022,0,0,2929576.35,32403224.325,25617971.55,32317923.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
19,02/26/2022,0,0,2947986.425,32477986.7875,25662591.525,32362261.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
20,02/27/2022,0,0,2966396.5,32552749.25,25707211.5,32406600.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
21,02/28/2022,0,0,2984806.575,32627511.7125,25751831.475,32450938.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
22,03/01/2022,0,0,3003216.65,32702274.175,25796451.45,32495276.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
23,03/02/2022,0,0,3021626.725,32777036.6375,25841071.425,32539614.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
24,03/03/2022,0,0,3040036.8,32851799.1,25885691.4,32583952.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
25,03/04/2022,0,0,3058446.875,32926561.5625,25930311.375,32628291.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
26,03/05/2022,0,0,3076856.95,33001324.025,25974931.35,32672629.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
27,03/06/2022,0,0,3095267.025,33076086.4875,26019551.325,32716967.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
28,03/07/2022,0,0,3113677.1,33150848.95,26064171.3,32761305.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
29,03/08/2022,0,0,3132087.175,33225611.4125,26108791.275,32805643.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
30,03/09/2022,0,0,3150497.25,33300373.875,26153411.25,32849982.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
31,03/10/2022,0,0,3168907.325,33375136.3375,26198031.225,32894320.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
32,03/11/2022,0,0,3187317.4,33449898.8,26242651.2,32938658.4,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
33,03/12/2022,0,0,3205727.475,33524661.2625,26287271.175,32982996.6,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
34,03/13/2022,0,0,3224137.55,33599423.725,26331891.15,33027334.8,44338.199999999255,44619.974999997765,74762.46250000224,18410.07499999972,0
35,03/14/2022,0,0,3242547.625,33674186.1875,26376511.125,33071673.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
36,03/15/2022,0,0,3260957.7,33748948.65,26421131.1,33116011.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
37,03/16/2022,0,0,3279367.775,33823711.1125,26465751.075,33160349.4,44338.199999999255,44619.974999997765,74762.46249999851,18410.07499999972,0
38,03/17/2022,0,0,3297777.85,33898473.575,26510371.05,33204687.6,44338.20000000298,44619.97500000149,74762.46250000596,18410.075000000186,0
39,03/18/2022,0,0,3316187.925,33973236.0375,26554991.025,33249025.8,44338.199999999255,44619.974999997765,74762.46249999851,18410.07499999972,0
40,03/19/2022,0,0,3334598.0,34047998.5,26599611.0,33293364.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
41,03/20/2022,0,0,3353008.075,34122760.9625,26644230.975,33337702.2,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
42,03/21/2022,0,0,3371418.15,34197523.425,26688850.95,33382040.4,44338.199999999255,44619.974999997765,74762.46249999851,18410.07499999972,0
43,03/22/2022,0,0,3389828.225,34272285.8875,26733470.925,33426378.6,44338.20000000298,44619.97500000149,74762.46250000596,18410.075000000186,0
44,03/23/2022,0,0,3408238.3,34347048.35,26778090.9,33470716.8,44338.199999999255,44619.974999997765,74762.46249999851,18410.07499999972,0
45,03/24/2022,0,0,3426648.375,34421810.8125,26822710.875,33515055.0,44338.199999999255,44619.97500000149,74762.46249999851,18410.075000000186,0
46,03/25/2022,0,0,3445058.45,34496573.275,26867330.85,33559393.2,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
47,03/26/2022,0,0,3463468.525,34571335.7375,26911950.825,33603731.4,44338.19999999553,44619.974999997765,74762.46249999851,18410.07499999972,0
48,03/27/2022,0,0,3481878.6,34646098.2,26956570.8,33648069.6,44338.20000000298,44619.97500000149,74762.46250000596,18410.075000000186,0
49,03/28/2022,0,0,3500288.675,34720860.6625,27001190.775,33692407.8,44338.19999999553,44619.974999997765,74762.46249999851,18410.07499999972,0
50,03/29/2022,0,0,3518698.75,34795623.125,27045810.75,33736746.0,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
51,03/30/2022,0,0,3537108.825,34870385.5875,27090430.725,33781084.2,44338.20000000298,44619.97500000149,74762.46249999851,18410.075000000186,0
52,03/31/2022,0,0,3555518.9,34945148.05,27135050.7,33825422.4,44338.19999999553,44619.974999997765,74762.46249999851,18410.07499999972,0
53,04/01/2022,0,0,3573928.975,35019910.5125,27179670.675,33869760.6,44338.20000000298,44619.97500000149,74762.46250000596,18410.075000000186,0
54,04/02/2022,0,0,3592339.05,35094672.975,27224290.65,33914098.8,44338.19999999553,44619.974999997765,74762.46249999851,18410.07499999972,0
